sample,taxa,percentage
SRR21770694,viruses,0.5657523695488579
SRR21770695,viruses,0.15819030967222575
SRR21770696,viruses,0.031754242511380384
SRR21770697,viruses,0.024329291049182963
SRR21770698,viruses,0.2601972966847828
SRR21770699,viruses,0.024889090948316466
SRR21770700,viruses,0.014610379463588122
SRR21770701,viruses,0.047066493012382
SRR21770702,viruses,0.00969493555441733
SRR21770704,viruses,0.012497911163724042
SRR21770705,viruses,0.008844927825388945
SRR21770706,viruses,0.020991295018361635
SRR21770707,viruses,0.467353582881436
SRR21770708,viruses,
SRR21770709,viruses,
SRR21770710,viruses,0.012076065480546629
SRR21770711,viruses,0.012094542274238841
SRR21770712,viruses,0.06692213102441623
SRR21770713,viruses,0.02143807974149681
SRR21770714,viruses,3.8459027067271174
SRR21770716,viruses,0.10826967141244692
SRR21770717,viruses,4.40219277048713
SRR21770718,viruses,8.642047058970952e-05
SRR21770719,viruses,0.01764355907514925
SRR21770720,viruses,0.01762218045112782
SRR21770721,viruses,0.004222601662475689
SRR21770722,viruses,0.004206662680620073
SRR21770723,viruses,0.004766052160449025
SRR21770724,viruses,0.026671147106063043
SRR21770725,viruses,0.006641188185789557
